2025-04-04 05:32:33,543 INFO  ExportHelperExtension.cs: 1409 - Component 44 is already fixed
2025-04-04 05:32:33,544 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2025-04-04 05:32:33,544 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2025-04-04 05:32:33,544 INFO  ExportHelperExtension.cs: 1402 - Fixing 47
2025-04-04 05:32:33,545 INFO  ExportHelperExtension.cs: 1409 - Component 47 is already fixed
2025-04-04 05:32:33,545 INFO  ExportHelperExtension.cs: 1402 - Fixing 45
2025-04-04 05:32:33,545 INFO  ExportHelperExtension.cs: 1409 - Component 45 is already fixed
2025-04-04 05:32:33,546 INFO  ExportHelperExtension.cs: 1402 - Fixing 51
2025-04-04 05:32:33,546 INFO  ExportHelperExtension.cs: 1409 - Component 51 is already fixed
2025-04-04 05:32:33,546 INFO  ExportHelperExtension.cs: 1402 - Fixing 49
2025-04-04 05:32:33,547 INFO  ExportHelperExtension.cs: 1409 - Component 49 is already fixed
2025-04-04 05:32:33,547 INFO  ExportHelperExtension.cs: 1402 - Fixing 50
2025-04-04 05:32:33,547 INFO  ExportHelperExtension.cs: 1409 - Component 50 is already fixed
2025-04-04 05:32:33,548 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2025-04-04 05:32:33,548 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2025-04-04 05:32:33,549 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2025-04-04 05:32:33,549 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2025-04-04 05:32:33,549 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2025-04-04 05:32:33,550 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2025-04-04 05:32:33,550 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:33,550 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:33,551 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2025-04-04 05:32:33,551 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2025-04-04 05:32:33,551 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2025-04-04 05:32:33,552 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2025-04-04 05:32:33,552 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2025-04-04 05:32:33,552 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2025-04-04 05:32:33,553 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
